time,ra_offset,dec_offset
1992.224,-0.0099,0.1702
1994.314,-0.0337,0.1775
1995.534,-0.0418,0.1703
1996.253,-0.0476,0.16219999999999998
1996.427,-0.0503,0.16019999999999998
1997.544,-0.0633,0.12869999999999998
1998.373,-0.0692,0.12040000000000001
1999.465,-0.0712,0.1042
2000.472,-0.0587,0.062
2000.523,-0.067,0.0565
2001.502,-0.0524,0.022
2002.25,-0.0081,-0.014400000000000001
2002.335,0.004,-0.0097
2002.393,0.0137,-0.0021000000000000003
2002.409,0.0155,-0.0001
2002.412,0.0147,0.0002
2002.414,0.0147,0.001
2002.488,0.0249,0.0129
2002.578,0.028100000000000003,0.0185
2002.66,0.0314,0.0247
2002.66,0.0312,0.0252
2003.214,0.0386,0.0645
2003.351,0.039,0.0729
2003.356,0.0383,0.0727
2003.446,0.038200000000000005,0.0777
2003.451,0.0389,0.0783
2003.452,0.0391,0.07840000000000001
2003.454,0.0385,0.0785
2003.454,0.0389,0.07970000000000001
2003.55,0.0386,0.08320000000000001
2003.676,0.0383,0.0897
2003.678,0.0388,0.0895
2003.761,0.037700000000000004,0.0947
2004.24,0.035,0.11109999999999999
2004.325,0.0347,0.1141
2004.347,0.0339,0.1155
2004.443,0.0339,0.1183
2004.511,0.033,0.1206
2004.513,0.0332,0.121
2004.516,0.0334,0.121
2004.516,0.033100000000000004,0.121
2004.574,0.032200000000000006,0.1227
2004.574,0.032200000000000006,0.1218
2004.664,0.0315,0.1251
2004.67,0.0319,0.1253
2004.73,0.031100000000000003,0.1272
2004.73,0.0318,0.1268
2005.27,0.026000000000000002,0.14100000000000001
2005.366,0.0251,0.1431
2005.371,0.0247,0.1433
2005.374,0.0247,0.1433
2005.467,0.024300000000000002,0.1449
2005.57,0.0235,0.1469
2005.576,0.023,0.14730000000000001
2006.324,0.0157,0.15969999999999998
2007.545,0.0013000000000000002,0.1736
2007.55,0.0026000000000000003,0.1731
2007.686,0.001,0.1739
2007.687,0.0004,0.1739
2008.148,-0.006,0.177
2008.197,-0.006500000000000001,0.177
2008.268,-0.0074,0.178
2008.456,-0.0097,0.1782
2008.472,-0.0094,0.1786
2008.473,-0.009000000000000001,0.1782
2008.593,-0.01,0.1776
2008.601,-0.011800000000000001,0.1782
2008.708,-0.0126,0.1792
2009.185,-0.0184,0.1791
2009.273,-0.019100000000000002,0.1792
2009.3,-0.019600000000000003,0.17930000000000001
2009.303,-0.0193,0.1796
2009.336,-0.0194,0.1792
2009.336,-0.0195,0.1792
2009.371,-0.0197,0.179
2009.502,-0.0209,0.179
2009.505,-0.0212,0.1792
2009.557,-0.0219,0.1795
2009.557,-0.0213,0.1794
2009.606,-0.0223,0.1795
2009.718,-0.023899999999999998,0.1791
2009.776,-0.024100000000000003,0.179
2010.234,-0.029500000000000002,0.1775
2010.239,-0.0296,0.1766
2010.239,-0.029,0.1771
2010.245,-0.0293,0.1768
2010.351,-0.030600000000000002,0.1766
2010.444,-0.0318,0.1761
2010.455,-0.0318,0.1759
2010.455,-0.0314,0.1761
2010.455,-0.0312,0.1754
2010.46,-0.0313,0.1761
2010.616,-0.0318,0.1744
2010.619,-0.0339,0.1751
2010.622,-0.033299999999999996,0.1751
2010.624,-0.0332,0.1753
2010.627,-0.0335,0.1749
2010.676,-0.033600000000000005,0.1741
2010.679,-0.0342,0.1744
2011.238,-0.039700000000000006,0.1707
2011.241,-0.039700000000000006,0.1706
2011.244,-0.0391,0.1704
2011.249,-0.0395,0.1703
2011.312,-0.040299999999999996,0.1698
2011.313,-0.0389,0.1699
2011.315,-0.0405,0.1697
2011.337,-0.0404,0.1693
2011.443,-0.0414,0.16840000000000002
2011.553,-0.0425,0.1676
2011.613,-0.0427,0.16690000000000002
2011.689,-0.044,0.1663
2011.695,-0.0439,0.1661
2011.695,-0.0428,0.1662
2011.698,-0.0439,0.166
2011.722,-0.0441,0.1656
2012.202,-0.048,0.15980000000000003
2012.339,-0.049600000000000005,0.1584
2012.497,-0.050100000000000006,0.1562
2012.533,-0.0514,0.1562
2012.544,-0.0511,0.1561
2012.552,-0.0517,0.15580000000000002
2012.552,-0.0505,0.1556
2012.604,-0.0517,0.155
2012.7,-0.052000000000000005,0.1534
2013.161,-0.055299999999999995,0.1471
2013.24,-0.0555,0.1458
2013.317,-0.0565,0.1446
2013.366,-0.05670000000000001,0.1434
2013.42,-0.05670000000000001,0.1427
2013.437,-0.056,0.1427
2013.494,-0.0573,0.1409
2013.502,-0.0573,0.1411
2013.587,-0.0579,0.1395
2013.59,-0.0573,0.1393
2013.617,-0.0583,0.139
2015.432,-0.06620000000000001,0.09770000000000001
2015.517,-0.06670000000000001,0.0953
2015.706,-0.067,0.0901
2015.747,-0.0668,0.0885
2016.221,-0.06609999999999999,0.0733
2016.287,-0.066,0.0708
2016.325,-0.066,0.0697
2016.369,-0.06620000000000001,0.06870000000000001
2016.525,-0.06440000000000001,0.0627
2016.53,-0.06509999999999999,0.0627
